AMBER General Force Field for organic molecules (Version 1.4, March 2010) add. info. at the end
c  12.01         0.616               Sp2 C carbonyl group 
c1 12.01         0.360               Sp C
c2 12.01         0.360               Sp2 C  
c3 12.01         0.878               Sp3 C
ca 12.01         0.360               Sp2 C in pure aromatic systems
cp 12.01         0.360               Head Sp2 C that connect two rings in biphenyl sys. 
cq 12.01         0.360               Head Sp2 C that connect two rings in biphenyl sys. identical to cp 
cc 12.01         0.360               Sp2 carbons in non-pure aromatic systems
cd 12.01         0.360               Sp2 carbons in non-pure aromatic systems, identical to cc
ce 12.01         0.360               Inner Sp2 carbons in conjugated systems
cf 12.01         0.360               Inner Sp2 carbons in conjugated systems, identical to ce
cg 12.01         0.360               Inner Sp carbons in conjugated systems
ch 12.01         0.360               Inner Sp carbons in conjugated systems, identical to cg
cx 12.01         0.360               Sp3 carbons in triangle systems
cy 12.01         0.360               Sp3 carbons in square systems
cu 12.01         0.360               Sp2 carbons in triangle systems
cv 12.01         0.360               Sp2 carbons in square systems
cz 12.01         0.360               Sp2 carbon in guanidine group
h1 1.008         0.135               H bonded to aliphatic carbon with 1 electrwd. group  
h2 1.008         0.135               H bonded to aliphatic carbon with 2 electrwd. group 
h3 1.008         0.135               H bonded to aliphatic carbon with 3 electrwd. group 
h4 1.008         0.135               H bonded to non-sp3 carbon with 1 electrwd. group 
h5 1.008         0.135               H bonded to non-sp3 carbon with 2 electrwd. group 
ha 1.008         0.135               H bonded to aromatic carbon  
hc 1.008         0.135               H bonded to aliphatic carbon without electrwd. group 
hn 1.008         0.161               H bonded to nitrogen atoms
ho 1.008         0.135               Hydroxyl group
hp 1.008         0.135               H bonded to phosphate 
hs 1.008         0.135               Hydrogen bonded to sulphur 
hw 1.008         0.135               Hydrogen in water 
hx 1.008         0.135               H bonded to C next to positively charged group  
f  19.00         0.320               Fluorine
cl 35.45         1.910               Chlorine 
br 79.90         2.880               Bromine 
i  126.9         4.690               Iodine 
n  14.01         0.530               Sp2 nitrogen in amide groups
n1 14.01         0.530               Sp N  
n2 14.01         0.530               aliphatic Sp2 N with two connected atoms 
n3 14.01         0.530               Sp3 N with three connected atoms
n4 14.01         0.530               Sp3 N with four connected atoms 
na 14.01         0.530               Sp2 N with three connected atoms 
nb 14.01         0.530               Sp2 N in pure aromatic systems 
nc 14.01         0.530               Sp2 N in non-pure aromatic systems
nd 14.01         0.530               Sp2 N in non-pure aromatic systems, identical to nc
ne 14.01         0.530               Inner Sp2 N in conjugated systems
nf 14.01         0.530               Inner Sp2 N in conjugated systems, identical to ne
nh 14.01         0.530               Amine N connected one or more aromatic rings 
no 14.01         0.530               Nitro N  
o  16.00         0.434               Oxygen with one connected atom
oh 16.00         0.465               Oxygen in hydroxyl group
os 16.00         0.465               Ether and ester oxygen
ow 16.00         0.465               Oxygen in water 
p2 30.97         1.538               Phosphate with two connected atoms 
p3 30.97         1.538               Phosphate with three connected atoms, such as PH3
p4 30.97         1.538               Phosphate with three connected atoms, such as O=P(CH3)2
p5 30.97         1.538               Phosphate with four connected atoms, such as O=P(OH)3
pb 30.97         1.538               Sp2 P in pure aromatic systems 
pc 30.97         1.538               Sp2 P in non-pure aromatic systems
pd 30.97         1.538               Sp2 P in non-pure aromatic systems, identical to pc
pe 30.97         1.538               Inner Sp2 P in conjugated systems
pf 30.97         1.538               Inner Sp2 P in conjugated systems, identical to pe
px 30.97         1.538               Special p4 in conjugated systems
py 30.97         1.538               Special p5 in conjugated systems
s  32.06         2.900               S with one connected atom 
s2 32.06         2.900               S with two connected atom, involved at least one double bond  
s4 32.06         2.900               S with three connected atoms 
s6 32.06         2.900               S with four connected atoms 
sh 32.06         2.900               Sp3 S connected with hydrogen 
ss 32.06         2.900               Sp3 S in thio-ester and thio-ether
sx 32.06         2.900               Special s4 in conjugated systems
sy 32.06         2.900               Special s6 in conjugated systems

hn  ho  hs  n   na  nc  nd  ne  nf  n2  n3  n4  o   oh  os  ow  sh  ss
ow-hw  553.0    0.9572       TIP3P_Water   1	
br-br  123.2    2.5420       SOURCE1       4	0.0000
br-c1  352.7    1.7870       SOURCE2       4	0.0024
br-c2  278.7    1.8830       SOURCE1      31	0.0000
br-c   240.3    1.9460       SOURCE2       2	0.0285
br-c3  229.5    1.9660       SOURCE1     100	0.0000
br-ca  269.6    1.8970       SOURCE1     127	0.0058
br-cc  277.6    1.8847       SOURCE4      39	0.0068
br-cx  261.4    1.9100       SOURCE1       8	0.0000
br-i   142.4    2.6710       SOURCE1       2	0.0245
br-n1  330.4    1.8600       SOUECE3       1	
br-n2  219.0    2.0380       SOURCE3       5	0.1082
br-n   320.2    1.8730       SOURCE3       4	0.0046
br-n3  265.9    1.9520       SOURCE3       2	0.0000
br-n4  282.4    1.9260       SOURCE3       3	0.0013
br-na  237.3    2.0020       SOURCE3       7	0.2156
br-nh  270.9    1.9440       SOURCE3       1	0.0000
br-no  191.0    2.1010       SOURCE3       1	0.0000
br-o   278.9    1.8000       SOUECE3       1	
br-oh  237.2    1.8660       SOURCE3       1	0.0000
br-os  225.6    1.8870       SOURCE3       2	0.0000
br-p2  174.3    2.2100       SOURCE3       9	0.0510
br-p3  167.0    2.2310       SOURCE3       3	0.0101
br-p4  188.8    2.1710       SOUECE3       1	
br-p5  179.3    2.1960       SOURCE3       3	0.0099
br-s   170.6    2.2200       SOUECE3       1	
br-s4  134.3    2.3410       SOURCE3       1	0.0000
br-s6  172.7    2.2140       SOURCE3       3	0.0443
br-sh  174.4    2.2090       SOURCE3       1	0.0000
br-ss  176.6    2.2030       SOURCE3       3	0.0035
c1-c1  986.2    1.1810       SOURCE1     265	0.0031
c1-c2  625.0    1.3070       SOURCE1      18	0.0000
c1-c3  368.3    1.4700       SOURCE1     215	0.0017
c1-ca  404.1    1.4400       SOUECE3       1	
c1-ce  607.4    1.3153       SOURCE4       6	0.0086
c1-cg  845.8    1.2220       SOURCE3      22	0.0101
c1-ch  845.8    1.2220       SOURCE3      22	same_as_c1-cg
c1-cl  419.7    1.6310       SOURCE2       6	0.0050
c1-cx  399.1    1.4440       SOURCE1      38	0.0000
c1-f   469.4    1.2700       SOURCE2       2	0.0085
c1-ha  375.9    1.0660       SOURCE3      63	0.0035
c1-hc  385.6    1.0600       SOUECE3       1	
c1-i   318.8    1.9890       SOURCE2       4	0.0032
c1-n1 1014.5    1.1380       SOURCE1     170	0.0055
c1-n2  769.8    1.2100       SOURCE3       5	0.0115
c1-n3  409.8    1.3920       SOURCE2       1	0.0000
c1-n4  378.2    1.4170       SOURCE3       3	0.0032
c1-n   503.0    1.3300       SOUECE3       1	
c1-na  452.0    1.3620       SOURCE3       8	0.0034
c1-ne  803.3    1.1986       SOURCE4      10	0.0088
c1-nf  803.3    1.1986       SOURCE4      10	same_as_c1-ne
c1-nh  485.0    1.3408       SOURCE4      11	0.0037
c1-no  393.0    1.4050       SOURCE3       3	0.0005
c1-o   777.0    1.1660       SOURCE2       9	0.0052
c1-oh  435.6    1.3260       SOURCE3       1	0.0000
c1-os  437.1    1.3250       SOURCE3       3	0.0148
c1-p2  289.3    1.7700       SOUECE3       1	
c1-p3  275.1    1.7900       SOUECE3       1	
c1-p4  275.1    1.7900       SOUECE3       1	
c1-p5  302.2    1.7530       SOURCE3       2	0.0000
c1-s2  410.0    1.5950       SOURCE3       1	0.0000
c1-s   371.8    1.6300       SOURCE1      14	0.0000
c1-s4  272.9    1.7460       SOURCE3       2	0.0000
c1-s6  290.4    1.7220       SOURCE3       2	0.0000
c1-sh  324.5    1.6800       SOUECE3       1	
c1-ss  325.4    1.6790       SOURCE1      10	0.0000
c2-c2  589.7    1.3240       SOURCE1     974	0.0096
c2-c3  328.3    1.5080       SOURCE1    2536	0.0021
c2-ca  357.2    1.4800       SOUECE3       1	
c2-cc  522.6    1.3600       SOURCE1     771	0.0185
c2-cd  522.6    1.3600       SOURCE1     771	0.0185
c2-ce  560.5    1.3390       SOURCE3      62	0.0128
c2-cf  560.5    1.3390       SOURCE3      62	same_as_c2-ce
c2-cl  328.8    1.7220       SOURCE1     163	0.0098
c2-cu  573.9    1.3320       SOURCE2       1	0.0000
c2-cx  353.3    1.4836       SOURCE4      26	0.0064
c2-cy  331.7    1.5046       SOURCE4       9	0.0053
c2-f   368.7    1.3400       SOURCE1      34	0.0000
c2-h4  348.6    1.0840       SOURCE3      40	0.0058
c2-h5  338.0    1.0915       SOURCE4      42	0.0017
c2-ha  344.3    1.0870       SOURCE3     797	0.0046
c2-hc  344.3    1.0870       SOURCE3     789	0.0046
c2-hx  350.1    1.0830       SOURCE3       3	0.0008
c2-i   223.2    2.1530       SOURCE3       2	0.0000
c2-n1  546.0    1.3060       SOURCE3       4	0.0161
c2-n2  581.1    1.2880       SOURCE1     103	0.0100
c2-n3  486.3    1.3400       SOUECE3       1	
c2-n   390.5    1.4070       SOURCE3       9	0.0124
c2-n4  309.1    1.4820       SOURCE3       5	0.0064
c2-na  411.1    1.3910       SOURCE3      31	0.0289
c2-nc  533.0    1.3130       SOURCE1      99	0.0095
c2-nd  533.0    1.3130       SOURCE1      99	same_as_c2-nc
c2-ne  597.7    1.2800       SOURCE3      37	0.0110
c2-nf  597.7    1.2800       SOURCE3      37	same_as_c2-ne
c2-nh  462.6    1.3550       SOURCE3      38	0.0413
c2-no  345.6    1.4457       SOURCE4       7	0.0087
c2-o   623.6    1.2244       SOURCE4      15	0.0036
c2-oh  425.4    1.3330       SOURCE1      53	0.0000
c2-os  392.6    1.3570       SOURCE1     315	0.0097
c2-p2  375.9    1.6700       SOURCE3      62	0.0147
c2-p3  246.6    1.8340       SOURCE3       5	0.0042
c2-p4  254.0    1.8220       SOUECE3       1	
c2-p5  228.2    1.8658       SOURCE4       5	0.0025
c2-pe  355.3    1.6910       SOURCE3      52	0.0542
c2-pf  355.3    1.6910       SOURCE3      52	same_as_c2-pe
c2-s2  393.1    1.6100       SOURCE2       1	0.0000
c2-s   281.5    1.7340       SOURCE3       4	0.0034
c2-s4  263.2    1.7600       SOUECE3       1	
c2-s6  263.2    1.7600       SOUECE3       1	
c2-sh  252.0    1.7771       SOURCE4       5	0.0037
c2-ss  280.0    1.7360       SOURCE1     209	0.0155
c3-c3  303.1    1.5350       SOURCE1   14664	0.0048
c3-ca  323.5    1.5130       SOURCE1    1813	0.0000
c3-cc  337.3    1.4990       SOURCE3      50	0.0096
c3-cd  337.3    1.4990       SOURCE3      50	0.0096
c3-ce  331.3    1.5050       SOURCE3       9	0.0024
c3-cf  331.3    1.5050       SOURCE3       9	same_as_c3-ce
c3-cl  279.0    1.7860       SOURCE1     267	0.0194
c3-cu  359.4    1.4780       SOURCE1       7	0.0000
c3-cv  347.6    1.4890       SOURCE1      11	0.0000
c3-cx  322.5    1.5140       SOURCE1     712	0.0045
c3-cy  308.5    1.5290       SOURCE1     376	0.0000
c3-f   363.8    1.3440       SOURCE1     617	0.0281
c3-h1  335.9    1.0930       SOURCE3    2175	0.0082
c3-h2  326.4    1.1000       SOURCE3      66	0.0280
c3-h3  333.4    1.0948       SOURCE4      25	0.0026
c3-hc  337.3    1.0920       SOURCE3    2815	0.0059
c3-hx  338.7    1.0910       SOURCE3     146	0.0066
c3-i   219.1    2.1620       SOURCE1      15	0.0000
c3-n1  325.1    1.4700       SOURCE3       0	
c3-n2  313.8    1.4770       SOURCE1     129	0.0138
c3-n   330.6    1.4600       SOURCE1     187	0.0079
c3-n3  320.6    1.4700       SOURCE1    1678	0.0017
