#atom|charge|method|property|T(K)|Value|spin multiplicity|unit|reference|
Al|0|exp|H(0)-H(T)|0|0|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|0|0|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|100|0.483|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|100|6.987|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|200|2.285|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|200|19.144|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|298.15|4.539|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|298.15|28.275|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|300|4.584|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|300|28.425|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|400|7.092|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|400|35.63|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|500|9.725|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|500|41.501|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|600|12.46|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|600|46.485|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|700|15.308|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|700|50.872|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|800|18.288|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|800|54.85|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|900|21.429|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|900|58.548|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|933.450|22.521|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|933.450|59.738|2|J/mol K|http://kinetics.nist.gov/janaf|
Al|0|exp|H(0)-H(T)|933.450|33.232|2|kJ/mol|http://kinetics.nist.gov/janaf|
Al|0|exp|S0(T)|933.450|71.213|2|J/mol K|http://kinetics.nist.gov/janaf|
