#
# Open Babel file: eqeqIonizations.txt
#
# Additional ionization energies for elements used by EQeq.
# Also contains common metal ion charges and electron affinities.
#
# Note that some of this information is redundant with OBElementTable. TODO fix.
#
# Parameters:
#   Num: Atomic number
#   Symbol: Element symbol
#   Charge: Common charge of ionized metals (0 if nonmetal)
#   Affinity: Element electron affinity
#   Ionizations: Nth ionization of atom (-1 if does not exist)
#
# Num   Symbol  Charge  Affinity Ionizations
1	H	0	0.7542	13.598	-1	-1	-1	-1	-1	-1	-1
2	He	0	0	24.587	54.416	-1	-1	-1	-1	-1	-1
3	Li	1	0.61805	5.392	75.638	122.451	-1	-1	-1	-1	-1
4	Be	2	0	9.322	18.211	153.893	217.713	-1	-1	-1	-1
5	B	0	0.27972	8.298	25.154	37.93	259.368	340.217	-1	-1	-1
6	C	0	1.26212	11.26	24.383	47.887	64.492	392.077	489.981	-1	-1
7	N	0	-0.07	14.534	29.601	47.448	77.472	97.888	552.057	667.029	-1
8	O	0	1.46111	13.618	35.116	54.934	77.412	113.896	138.116	739.315	871.387
9	F	0	3.40119	17.422	34.97	62.707	87.138	114.24	157.161	185.182	953.886
10	Ne	0	0	21.564	40.962	63.45	97.11	126.21	157.93	207.27	239.09
11	Na	1	0.54793	5.139	47.286	71.64	98.91	138.39	172.15	208.47	264.18
12	Mg	2	0	7.646	15.035	80.143	109.24	141.26	186.5	224.94	265.9
13	Al	3	0.43283	5.986	18.828	28.447	119.99	153.71	190.47	241.43	284.59
14	Si	0	1.38952	8.151	16.345	33.492	45.141	166.77	205.05	246.52	303.17
15	P	0	0.7465	10.458	19.725	30.18	51.37	65.023	220.43	263.22	309.41
16	S	0	2.0771	10.36	23.33	34.83	47.3	72.68	88.049	280.93	328.23
17	Cl	0	3.61272	12.967	23.81	39.61	53.46	67.8	97.03	114.193	348.28
18	Ar	0	0	15.759	27.629	40.74	59.81	75.02	91.007	124.319	143.456
19	K	1	0.50146	4.341	31.625	45.72	60.91	82.66	100	117.56	154.86
20	Ca	2	0.02455	6.113	11.871	50.908	67.1	84.41	108.78	127.7	147.24
21	Sc	3	0.188	6.54	12.8	24.76	73.47	91.66	111.1	138	158.7
22	Ti	3	0.084	6.82	13.58	27.491	43.266	99.22	119.36	140.8	168.5
23	V	3	0.525	6.74	14.65	29.31	46.707	65.23	128.12	150.17	173.7
24	Cr	2	0.67584	6.766	16.5	30.96	49.1	69.3	90.56	161.1	184.7
25	Mn	2	0	7.435	15.64	33.667	51.2	72.4	95	119.27	196.46
26	Fe	3	0.151	7.87	16.18	30.651	54.8	75	99	125	151.06
27	Co	2	0.6633	7.86	17.06	33.5	51.3	79.5	102	129	157
28	Ni	2	1.15716	7.635	18.168	35.17	54.9	75.5	108	133	162
29	Cu	2	1.23578	7.726	20.292	36.83	55.2	79.9	103	139	166
30	Zn	2	0	9.394	17.964	39.722	59.4	82.6	108	134	174
31	Ga	3	0.41	5.999	20.51	30.71	64	-1	-1	-1	-1
32	Ge	4	1.23271	7.899	15.934	34.22	45.71	93.5	-1	-1	-1
33	As	0	0.814	9.81	18.633	28.351	50.13	62.63	127.6	-1	-1
34	Se	0	2.0207	9.752	21.19	30.82	42.944	68.3	81.7	155.4	-1
35	Br	0	3.36359	11.814	21.8	36	47.3	59.7	88.6	103	192.8
36	Kr	0	0	13.999	24.359	36.95	52.5	64.7	18.5	111	126
37	Rb	1	0.48592	4.177	27.28	40	52.6	71	84.4	99.2	136
38	Sr	2	0.05206	5.695	11.03	43.6	57	71.6	90.8	106	122.3
39	Y	3	0.307	6.38	12.24	20.52	61.8	77	93	116	129
40	Zr	4	0.426	6.84	13.13	22.99	34.34	81.5	-1	-1	-1
41	Nb	5	0.893	6.88	14.32	25.04	38.3	50.55	102.6	125	-1
42	Mo	6	0.7472	7.099	16.15	27.16	46.4	61.2	68	126.8	153
43	Tc	7	0.55	7.28	15.26	29.54	-1	-1	-1	-1	-1
44	Ru	3	1.04638	7.37	16.76	28.47	-1	-1	-1	-1	-1
45	Rh	3	1.14289	7.46	18.08	31.06	-1	-1	-1	-1	-1
46	Pd	2	0.56214	8.34	19.43	32.93	-1	-1	-1	-1	-1
47	Ag	1	1.30447	7.576	21.49	34.83	-1	-1	-1	-1	-1
48	Cd	2	0	8.993	16.908	37.48	-1	-1	-1	-1	-1
49	In	3	0.404	5.786	18.869	28.03	54	-1	-1	-1	-1
50	Sn	4	1.11207	7.344	14.632	30.502	40.734	72.28	-1	-1	-1
51	Sb	3	1.0474	8.641	16.53	25.3	44.2	56	108	-1	-1
52	Te	0	1.97088	9.009	18.6	27.96	37.41	58.75	70.7	137	-1
53	I	0	3.05904	10.451	19.131	33	-1	-1	-1	-1	-1
54	Xe	0	0	12.13	21.21	32.1	-1	-1	-1	-1	-1
55	Cs	1	0.47163	3.894	25.1	-1	-1	-1	-1	-1	-1
56	Ba	2	0.14462	5.212	10.004	-1	-1	-1	-1	-1	-1
57	La	3	0.47	5.577	11.06	19.175	-1	-1	-1	-1	-1
58	Ce	3	0.7	5.47	10.85	20.2	36.72	-1	-1	-1	-1
59	Pr	3	0.5	5.42	10.55	21.62	38.95	57.45	-1	-1	-1
60	Nd	3	0.5	5.49	10.72	-1	-1	-1	-1	-1	-1
61	Pm	3	0.5	5.55	10.9	-1	-1	-1	-1	-1	-1
62	Sm	3	0.5	5.63	11.07	-1	-1	-1	-1	-1	-1
63	Eu	3	0.5	5.67	11.25	-1	-1	-1	-1	-1	-1
64	Gd	3	0.5	6.14	12.1	-1	-1	-1	-1	-1	-1
65	Tb	3	0.5	5.85	11.52	-1	-1	-1	-1	-1	-1
66	Dy	3	0.5	5.93	11.67	-1	-1	-1	-1	-1	-1
67	Ho	3	0.5	6.02	11.8	-1	-1	-1	-1	-1	-1
68	Er	3	0.5	6.1	11.93	-1	-1	-1	-1	-1	-1
69	Tm	3	0.5	6.18	12.05	23.71	-1	-1	-1	-1	-1
70	Yb	3	0.5	6.254	12.17	25.2	-1	-1	-1	-1	-1
71	Lu	3	0.5	5.426	13.9	-1	-1	-1	-1	-1	-1
72	Hf	4	0	7	14.9	23.3	33.3	-1	-1	-1	-1
73	Ta	5	0.322	7.89	-1	-1	-1	-1	-1	-1	-1
74	W	6	0.815	7.98	-1	-1	-1	-1	-1	-1	-1
75	Re	7	0.015	7.88	-1	-1	-1	-1	-1	-1	-1
76	Os	4	1.0778	8.7	-1	-1	-1	-1	-1	-1	-1
77	Ir	4	1.56436	9.1	-1	-1	-1	-1	-1	-1	-1
78	Pt	4	2.1251	9	18.563	-1	-1	-1	-1	-1	-1
79	Au	3	2.30861	9.225	20.5	-1	-1	-1	-1	-1	-1
80	Hg	2	0	10.437	18.756	34.2	-1	-1	-1	-1	-1
81	Tl	1	0.377	6.108	20.428	29.83	-1	-1	-1	-1	-1
82	Pb	2	0.364	7.416	15.032	31.937	42.32	68.8	-1	-1	-1
83	Bi	3	0.94236	7.289	16.69	25.56	45.3	56	88.3	-1	-1
84	Po	2	1.9	8.42	-1	-1	-1	-1	-1	-1	-1
