INDEX a1aaa2aaaaa2a1 CHECKED
   -7.347    -2.948    16.474
   -6.803    -4.163    16.553
   -7.151    -5.041    15.593
   -8.037    -4.746    14.550
   -8.399    -5.636    13.589
   -9.272    -5.229    12.632
   -9.791    -3.935    12.641
   -9.442    -3.037    13.605
   -8.563    -3.446    14.557
   -8.192    -2.600    15.521
INDEX a1aaaaa1 CHECKED
   -8.554    -4.763    15.844
   -8.168    -5.944    15.202
   -9.118    -6.938    14.963
  -10.437    -6.751    15.378
  -10.817    -5.580    16.037
   -9.872    -4.582    16.277
