#
# Open Babel file: UFF.prm
#
# Force field parameters for UFF, the Universal Force Field
# Used by OBForceField and OBUFFForceField
#
# J. Am. Chem. Soc. (1992) 114(25) p. 10024-10035.
# The parameters in this file are taken from the UFF implementation in RDKit
# http://rdkit.org/
#
# Atom typing rules are based on UFF published atom descriptions
# atom [SMARTS] [atomtype] [description]
# These must be sorted according to the element and complexity
#  of the type rule (i.e., generic rules first, more specific rules later)
#
# Parameters: (Slater exponent in Bohr as 0.4913(2n+1)/2R)
# Element       n       Xi      Hardness        Radius (Ang)
H	1	4.528	6.9452	0.371
He	1	9.66	14.92	1.3
Li	2	3.006	2.386	1.557
Be	2	4.877	4.443	1.24
B	2	5.11	4.75	0.822
C	2	5.343	5.063	0.759
N	2	6.899	5.88	0.715
O	2	8.741	6.682	0.669
F	2	10.874	7.474	0.706
Ne	2	11.04	10.55	1.768
Na	3	2.843	2.296	2.085
Mg	3	3.951	3.693	1.5
Al	3	4.06	3.59	1.201
Si	3	4.168	3.487	1.176
P	3	5.463	4	1.102
S	3	6.928	4.486	1.047
Cl	3	8.564	4.946	0.994
Ar	3	9.465	6.355	2.108
K	4	2.421	1.92	2.586
Ca	4	3.231	2.88	2
Sc	4	3.395	3.08	1.75
Ti	4	3.47	3.38	1.607
V	4	3.65	3.41	1.47
Cr	4	3.415	3.865	1.402
Mn	4	3.325	4.105	1.533
Fe	4	3.76	4.14	1.393
Co	4	4.105	4.175	1.406
Ni	4	4.465	4.205	1.398
Cu	4	4.2	4.22	1.434
Zn	4	5.106	4.285	1.4
Ga	4	3.641	3.16	1.211
Ge	4	4.051	3.438	1.189
As	4	5.188	3.809	1.204
Se	4	6.428	4.131	1.224
Br	4	7.79	4.425	1.141
Kr	4	8.505	5.715	2.27
Rb	5	2.331	1.846	2.77
Sr	5	3.024	2.44	2.415
Y	5	3.83	2.81	1.998
Zr	5	3.4	3.55	1.758
Nb	5	3.55	3.38	1.603
Mo	5	3.465	3.755	1.53
Tc	5	3.29	3.99	1.5
Ru	5	3.575	4.015	1.5
Rh	5	3.975	4.005	1.509
Pd	5	4.32	4	1.544
Ag	5	4.436	3.134	1.622
Cd	5	5.034	3.957	1.6
In	5	3.506	2.896	1.404
Sn3	5	3.987	3.124	1.354
Sb	5	4.899	3.342	1.404
Te	5	5.816	3.526	1.38
I	5	6.822	3.762	1.333
Xe	5	7.595	4.975	2.459
Cs	6	2.183	1.711	2.984
Ba	6	2.814	2.396	2.442
La	6	2.8355	2.7415	2.071
Ce	6	2.774	2.692	1.925
Pr	6	2.858	2.564	2.007
Nd	6	2.8685	2.6205	2.007
Pm	6	2.881	2.673	2
Sm	6	2.9115	2.7195	1.978
Eu	6	2.8785	2.7875	2.227
Gd	6	3.1665	2.9745	1.968
Tb	6	3.018	2.834	1.954
Dy	6	3.0555	2.8715	1.934
Ho	6	3.127	2.891	1.925
Er	6	3.1865	2.9145	1.915
Tm	6	3.2514	2.9329	2
Yb	6	3.2889	2.965	2.158
Lu	6	2.9629	2.4629	1.896
Hf	6	3.7	3.4	1.759
Ta	6	5.1	2.85	1.605
W	6	4.63	3.31	1.538
Re	6	3.96	3.92	1.6
Os	6	5.14	3.63	1.7
Ir	6	5	4	1.866
Pt	6	4.79	4.43	1.557
Au	6	4.894	2.586	1.618
Hg	6	6.27	4.16	1.6
Tl	6	3.2	2.9	1.53
Pb3	6	3.9	3.53	1.444
Bi	6	4.69	3.74	1.514
Po	6	4.21	4.21	1.48
At	6	4.75	4.75	1.47
Rn	6	5.37	5.37	2.2
Fr	7	2	2	2.3
Ra	7	2.843	2.434	2.2
Ac	7	2.835	2.835	2.108
Th	7	3.175	2.905	2.018
Pa	7	2.985	2.905	1.8
U	7	3.341	2.853	1.713
Np	7	3.549	2.717	1.8
Pu	7	3.243	2.819	1.84
Am	7	2.9895	3.0035	1.942
Cm	7	2.8315	3.1895	1.9
Bk	7	3.1935	3.0355	1.9
Cf	7	3.197	3.101	1.9
Es	7	3.333	3.089	1.9
Fm	7	3.4	3.1	1.9
Md	7	3.47	3.11	1.9
No	7	3.475	3.175	1.9
Lr	7	3.5	3.2	1.9
