##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                               #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2005 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	SBN	PCM
Du	0	0	61	0	Du	Du	0	Z	0	Du	26	Du	Du	20	25	un.0	26	0
Z0	0	0	62	0	Du	Du	0	Z	0	Du	26	Xx	Xx	20	25	un.0	26	0
Lp	0	0	63	20	Lp	Lp	0	Z	10	Lp	20	Lp	Xx	30	25	ep.1	20	20
X	0	0	62	0	X	Du	0	X	0	Du	26	X	X	21	25	un.0	26	0
H	1	0	48	5	H	H	0	H	11	H	13	H	H_	15	6	H.1	13	5 
HC	1	0	41	5	H	H	0	H	11	H	13	H	H_	15	7	H.1	13	5
H	1	0	43	28	H	H	0	H	11	H	13	H	H_	15	6	H.1	13	5 
H-	1	0	45	5	H	H	0	H	11	H	13	H	H_	15	6	H.1	13	5
H+	1	0	44	5	H	H	0	H	11	H	13	H	H_	15	6	H.0	13	5
HO	1	0	42	21	H	H	0	H	11	H	13	H	H_HB	15	25	H.1	13	21
HS	1	0	42	21	H	H	0	H	11	H	13	H	H_HB	15	25	H.1	26	5
HB	1	0	42	21	H	H	0	H	11	H	13	H	H_b	15	25	H.1	26	5
HN	1	0	43	23	H	H	0	H	11	H	13	H	H_HB	15	6	H.1	13	23
HO	1	0	42	24	H	H	0	H	11	H	13	H	H_HB	15	6	H.1	26	21
HO	1	0	42	24	H	H	0	H	11	H	13	H	H_HB	15	6	H.1	26	24
HO	1	0	42	24	H	H	0	H	11	H	13	H	H_HB	15	6	H.1	26	28
DC	1	0	48	36	D	H	0	D	19	H	13	D	H_	15	6	H.1	13	36 
D	1	0	48	36	D	H	0	D	19	H	13	D	H_	15	6	H.1	13	36 
T	1	0	48	5	T	H	0	H	11	H	13	H	H_	15	6	H.1	13	5
He	2	0	0	0	He	0	0	0	0	He	0	0	0	0	0	0	26	He
Li	3	0	62	0	Li	LI	0	M	258	Li	26	Li	Li	20	25	Li.0	24	Li
Be	4	0	0	0	Be	0	0	0	0	Be	0	0	0	0	0	0	26	Be
Box	5	0	54	26	B	B	0	B	53	B	26	B2	B_2	20	20	B.0	26	26
B2	5	0	54	26	B	B	0	B	53	B	26	B2	B_2	20	20	B.0	26	26
Bac	5	0	54	27	B	B	0	B	53	B	26	B2	B_2	20	20	B.0	26	26
B	5	0	55	27	B	B	0	B	53	B	26	B3	B_3	20	20	B.0	26	26
B3	5	0	55	27	B	B	0	B	53	B	26	B3	B_3	20	20	B.0	26	27
C-	6	0	10	0	C	C2	0	C	61	C.2	2	C-3	Xx	2	5	C.4	2	48
C.	6	0	12	0	C	C2	0	C	0	C.2	2	C.3	Xx	2	5	C.3	2	29
C3	6	3	3	1	C	C3	4	C	64	C.3	1	C3	C_3	1	5	C.4	1	1
C	6	3	3	1	C	C3	4	C	64	C.	1	C3	C_3	1	5	C.4	26	1
C3	6	3	3	1	C	C3	4	C	64	C.3	1	C3	C_3	1	5	C.4	1	22
C2	6	2	2	2	C	C2	3	C	63	C.2	2	C2	C_2	2	1	C.3	2	2
Car	6	2	2	2	C	C2	3	C	2	C.ar	3	C2	C_R	3	1	C.R	3	40
Cac	6	2	2	3	C	C2	0	C	63	C.2	2	C2	C_2	2	1	C.3	2	3
